iter	Passed	Remaining
0	59	59461
1	59	29853
2	60	19976
3	60	15040
4	60	12091
5	61	10126
6	61	8712
7	61	7658
8	62	6836
9	62	6179
10	62	5636
11	62	5179
12	63	4797
13	63	4474
14	63	4195
15	64	3944
16	64	3723
17	64	3527
18	64	3350
19	65	3193
20	65	3050
21	65	2921
22	65	2803
23	66	2694
24	66	2597
25	66	2507
26	67	2422
27	67	2343
28	67	2271
29	68	2204
30	68	2139
31	68	2079
32	68	2021
33	69	1968
34	69	1916
35	69	1867
36	70	1823
37	70	1781
38	70	1742
39	70	1703
40	71	1666
41	71	1630
42	71	1596
43	71	1563
44	72	1532
45	72	1502
46	72	1474
47	72	1447
48	73	1421
49	73	1396
50	73	1372
51	74	1349
52	74	1327
53	74	1305
54	74	1286
55	75	1267
56	75	1248
57	75	1229
58	76	1213
59	76	1197
60	76	1180
61	76	1164
62	77	1148
63	77	1133
64	77	1117
65	77	1103
66	78	1089
67	78	1073
68	78	1060
69	78	1047
70	79	1034
71	79	1022
72	79	1010
73	79	998
74	80	987
75	80	976
76	80	965
77	80	955
78	81	944
79	81	934
80	81	924
81	81	915
82	81	905
83	82	896
84	82	886
85	82	877
86	82	867
87	82	859
88	83	851
89	83	843
90	83	835
91	83	827
92	84	820
93	84	813
94	84	806
95	84	799
96	85	792
97	85	785
98	85	779
99	85	772
100	86	766
101	86	758
102	86	752
103	86	746
104	86	740
105	87	734
106	87	728
107	87	723
108	87	717
109	88	712
110	88	707
111	88	701
112	88	696
113	88	691
114	89	686
115	89	681
116	89	676
117	89	671
118	89	666
119	90	661
120	90	657
121	90	654
122	91	649
123	91	645
124	91	640
125	91	636
126	92	632
127	92	628
128	92	625
129	93	622
130	93	618
131	93	615
132	93	611
133	93	607
134	94	603
135	94	600
136	94	596
137	94	592
138	95	589
139	95	585
140	95	582
141	95	579
142	96	575
143	96	572
144	96	570
145	96	567
146	97	564
147	97	560
148	97	557
149	97	554
150	98	551
151	98	548
152	98	545
153	98	542
154	99	540
155	99	537
156	99	534
157	99	532
158	100	530
159	100	528
160	100	526
161	101	524
162	101	521
163	101	519
164	102	516
165	102	513
166	102	511
167	102	508
168	103	506
169	103	504
170	103	501
171	103	499
172	103	496
173	104	494
174	104	492
175	104	489
176	104	487
177	105	485
178	105	483
179	105	480
180	105	478
181	105	476
182	106	474
183	106	471
184	106	470
185	106	467
186	107	466
187	107	464
188	107	462
189	108	460
190	108	458
191	108	457
192	109	456
193	109	454
194	109	453
195	110	451
196	110	450
197	110	448
198	111	446
199	111	445
200	111	443
201	111	441
202	112	439
203	112	438
204	112	436
205	113	435
206	113	434
207	113	432
208	113	431
209	114	430
210	114	428
211	115	427
212	115	426
213	115	425
214	116	423
215	116	422
216	116	421
217	117	419
218	117	418
219	117	417
220	118	416
221	118	414
222	118	413
223	118	411
224	119	410
225	119	409
226	119	408
227	120	406
228	120	405
229	120	403
230	121	402
231	121	401
232	121	400
233	122	399
234	122	398
235	122	397
236	123	396
237	123	394
238	123	393
239	123	392
240	124	391
241	124	390
242	124	388
243	125	387
244	125	386
245	125	385
246	125	384
247	126	382
248	126	381
249	126	380
250	127	379
251	127	378
252	127	377
253	128	376
254	128	374
255	128	373
256	129	373
257	129	372
258	129	371
259	130	370
260	130	369
261	130	368
262	131	367
263	131	366
264	131	365
265	132	365
266	132	363
267	132	362
268	133	361
269	133	360
270	133	359
271	133	358
272	134	357
273	134	356
274	134	355
275	135	354
276	135	353
277	135	352
278	136	351
279	136	350
280	136	350
281	137	349
282	137	348
283	137	347
284	138	346
285	138	345
286	138	344
287	138	343
288	139	342
289	139	341
290	139	340
291	139	339
292	140	338
293	140	337
294	140	336
295	141	335
296	141	334
297	141	333
298	141	332
299	142	331
300	142	330
301	142	329
302	142	328
303	143	327
304	143	326
305	143	325
306	143	324
307	144	324
308	144	323
309	144	322
310	145	321
311	145	320
312	145	319
313	145	318
314	146	317
315	146	316
316	146	315
317	146	314
318	147	313
319	147	312
320	147	311
321	147	311
322	147	310
323	148	309
324	148	308
325	148	307
326	148	306
327	149	305
328	149	304
329	149	303
330	149	302
331	150	302
332	150	301
333	150	300
334	150	299
335	151	298
336	151	297
337	151	296
338	151	296
339	152	295
340	152	294
341	152	293
342	152	292
343	153	291
344	153	290
345	153	290
346	153	289
347	154	288
348	154	287
349	154	286
350	154	286
351	155	285
352	155	284
353	155	283
354	155	283
355	156	282
356	156	281
357	156	280
358	156	279
359	157	279
360	157	278
361	157	277
362	157	276
363	158	276
364	158	275
365	158	274
366	158	273
367	158	273
368	159	272
369	159	271
370	159	270
371	160	270
372	160	269
373	160	268
374	160	268
375	161	267
376	161	266
377	161	265
378	161	265
379	162	264
380	162	263
381	162	262
382	162	262
383	162	261
384	163	260
385	163	260
386	163	259
387	163	258
388	164	257
389	164	257
390	164	256
391	165	255
392	165	255
393	165	254
394	165	253
395	166	253
396	166	252
397	166	251
398	166	251
399	167	250
400	167	249
401	167	249
402	167	248
403	168	247
404	168	247
405	168	246
406	168	245
407	169	245
408	169	244
409	169	243
410	169	243
411	169	242
412	170	241
413	170	241
414	170	240
415	171	240
416	171	239
417	171	238
418	171	238
419	172	237
420	172	236
421	172	236
422	172	235
423	173	235
424	173	234
425	173	233
426	173	233
427	174	232
428	174	232
429	174	231
430	174	230
431	175	230
432	175	229
433	175	228
434	175	228
435	176	227
436	176	227
437	176	226
438	176	225
439	177	225
440	177	224
441	177	224
442	177	223
443	177	222
444	178	222
445	178	221
446	178	221
447	179	220
448	179	220
449	179	219
450	179	218
451	180	218
452	180	217
453	180	217
454	180	216
455	181	215
456	181	215
457	181	214
458	181	214
459	181	213
460	182	213
461	182	212
462	182	211
463	182	211
464	183	210
465	183	210
466	183	209
467	183	209
468	184	208
469	184	207
470	184	207
471	184	206
472	185	206
473	185	205
474	185	205
475	185	204
476	186	204
477	186	203
478	186	202
479	186	202
480	187	201
481	187	201
482	187	200
483	187	200
484	187	199
485	188	199
486	188	198
487	188	197
488	188	197
489	189	196
490	189	196
491	189	195
492	189	195
493	190	194
494	190	194
495	190	193
496	190	193
497	191	192
498	191	191
499	191	191
500	191	190
501	191	190
502	192	189
503	192	189
504	192	188
505	192	188
506	193	187
507	193	187
508	193	186
509	193	186
510	194	185
511	194	185
512	194	184
513	194	184
514	194	183
515	195	183
516	195	182
517	195	182
518	195	181
519	196	181
520	196	180
521	196	180
522	196	179
523	197	179
524	197	178
525	197	178
526	197	177
527	198	177
528	198	176
529	198	176
530	198	175
531	199	175
532	199	174
533	199	174
534	199	173
535	199	173
536	200	172
537	200	172
538	200	171
539	200	171
540	201	170
541	201	170
542	201	169
543	201	169
544	202	168
545	202	168
546	202	167
547	202	167
548	203	166
549	203	166
550	203	165
551	203	165
552	204	165
553	204	164
554	204	164
555	204	163
556	205	163
557	205	162
558	205	162
559	205	161
560	206	161
561	206	160
562	206	160
563	206	159
564	206	159
565	207	158
566	207	158
567	207	157
568	207	157
569	208	157
570	208	156
571	208	156
572	208	155
573	209	155
574	209	154
575	209	154
576	209	153
577	210	153
578	210	152
579	210	152
580	210	152
581	211	151
582	211	151
583	211	150
584	211	150
585	211	149
586	212	149
587	212	148
588	212	148
589	212	147
590	213	147
591	213	147
592	213	146
593	213	146
594	214	145
595	214	145
596	214	144
597	214	144
598	215	143
599	215	143
600	215	143
601	215	142
602	216	142
603	216	141
604	216	141
605	216	140
606	217	140
607	217	140
608	217	139
609	217	139
610	218	138
611	218	138
612	218	138
613	218	137
614	219	137
615	219	136
616	219	136
617	219	135
618	220	135
619	220	135
620	220	134
621	220	134
622	221	133
623	221	133
624	221	132
625	221	132
626	221	132
627	222	131
628	222	131
629	222	130
630	222	130
631	223	129
632	223	129
633	223	129
634	223	128
635	224	128
636	224	127
637	224	127
638	224	127
639	225	126
640	225	126
641	225	125
642	225	125
643	226	124
644	226	124
645	226	124
646	226	123
647	226	123
648	227	122
649	227	122
650	227	122
651	227	121
652	228	121
653	228	120
654	228	120
655	228	120
656	229	119
657	229	119
658	229	118
659	229	118
660	230	117
661	230	117
662	230	117
663	230	116
664	231	116
665	231	115
666	231	115
667	231	115
668	231	114
669	232	114
670	232	113
671	232	113
672	232	113
673	233	112
674	233	112
675	233	112
676	233	111
677	234	111
678	234	110
679	234	110
680	234	110
681	235	109
682	235	109
683	235	108
684	235	108
685	236	108
686	236	107
687	236	107
688	236	106
689	236	106
690	237	106
691	237	105
692	237	105
693	237	104
694	238	104
695	238	104
696	238	103
697	238	103
698	239	102
699	239	102
700	239	102
701	239	101
702	240	101
703	240	101
704	240	100
705	240	100
706	240	99
707	241	99
708	241	99
709	241	98
710	241	98
711	242	97
712	242	97
713	242	97
714	242	96
715	243	96
716	243	96
717	243	95
718	243	95
719	243	94
720	244	94
721	244	94
722	244	93
723	244	93
724	245	92
725	245	92
726	245	92
727	245	91
728	246	91
729	246	91
730	246	90
731	246	90
732	247	89
733	247	89
734	247	89
735	247	88
736	247	88
737	248	88
738	248	87
739	248	87
740	248	87
741	249	86
742	249	86
743	249	85
744	249	85
745	250	85
746	250	84
747	250	84
748	250	84
749	251	83
750	251	83
751	251	82
752	251	82
753	251	82
754	252	81
755	252	81
756	252	81
757	252	80
758	253	80
759	253	79
760	253	79
761	253	79
762	254	78
763	254	78
764	254	78
765	254	77
766	254	77
767	255	77
768	255	76
769	255	76
770	255	76
771	256	75
772	256	75
773	256	74
774	256	74
775	257	74
776	257	73
777	257	73
778	257	73
779	258	72
780	258	72
781	258	72
782	258	71
783	258	71
784	259	70
785	259	70
786	259	70
787	259	69
788	260	69
789	260	69
790	260	68
791	260	68
792	260	68
793	261	67
794	261	67
795	261	67
796	261	66
797	262	66
798	262	66
799	262	65
800	262	65
801	263	64
802	263	64
803	263	64
804	263	63
805	264	63
806	264	63
807	264	62
808	264	62
809	264	62
810	265	61
811	265	61
812	265	61
813	265	60
814	266	60
815	266	60
816	266	59
817	266	59
818	267	59
819	267	58
820	267	58
821	267	57
822	267	57
823	268	57
824	268	56
825	268	56
826	268	56
827	269	55
828	269	55
829	269	55
830	269	54
831	270	54
832	270	54
833	270	53
834	270	53
835	271	53
836	271	52
837	271	52
838	271	52
839	272	51
840	272	51
841	272	51
842	272	50
843	272	50
844	273	50
845	273	49
846	273	49
847	273	49
848	274	48
849	274	48
850	274	48
851	274	47
852	274	47
853	275	47
854	275	46
855	275	46
856	275	46
857	276	45
858	276	45
859	276	45
860	276	44
861	277	44
862	277	44
863	277	43
864	277	43
865	277	43
866	278	42
867	278	42
868	278	42
869	278	41
870	279	41
871	279	41
872	279	40
873	279	40
874	280	40
875	280	39
876	280	39
877	280	39
878	281	38
879	281	38
880	281	38
881	281	37
882	281	37
883	282	37
884	282	36
885	282	36
886	282	36
887	283	35
888	283	35
889	283	35
890	283	34
891	283	34
892	284	34
893	284	33
894	284	33
895	284	33
896	284	32
897	285	32
898	285	32
899	285	31
900	285	31
901	286	31
902	286	30
903	286	30
904	286	30
905	286	29
906	287	29
907	287	29
908	287	28
909	287	28
910	287	28
911	288	27
912	288	27
913	288	27
914	288	26
915	288	26
916	289	26
917	289	25
918	289	25
919	289	25
920	290	24
921	290	24
922	290	24
923	290	23
924	290	23
925	291	23
926	291	22
927	291	22
928	291	22
929	291	21
930	292	21
931	292	21
932	292	21
933	292	20
934	293	20
935	293	20
936	293	19
937	293	19
938	293	19
939	294	18
940	294	18
941	294	18
942	294	17
943	295	17
944	295	17
945	295	16
946	295	16
947	296	16
948	296	15
949	296	15
950	296	15
951	296	14
952	297	14
953	297	14
954	297	14
955	297	13
956	298	13
957	298	13
958	298	12
959	298	12
960	299	12
961	299	11
962	299	11
963	299	11
964	299	10
965	300	10
966	300	10
967	300	9
968	300	9
969	301	9
970	301	8
971	301	8
972	301	8
973	302	8
974	302	7
975	302	7
976	302	7
977	302	6
978	303	6
979	303	6
980	303	5
981	303	5
982	304	5
983	304	4
984	304	4
985	304	4
986	305	4
987	305	3
988	305	3
989	305	3
